v,type,claw,dist,age,cluster
Thermo KC A_Right - Mushroom Body  Left #4229950,KC,2,337.63801,mature,1
KC12 #4230061,KC,1,0,mature,1
KC10 #4227304,KC,1,1291.20357,mature,1
KC42 #8066542,KC,1,252.63347,mature,1
KC16 #4415241,KC,2,1822.29525,mature,1
KC100 #11813287,KC,2,1031.64602,mature,1
LON KC right #8068173,KC,4,3928.17984,mature,1
KC21 #5051342,KC,1,5966.11465,mature,1
KC2 #3347708,KC,1,7994.82927,mature,1
KC13 #4230739,KC,1,946.98646,mature,1
KC90 #9796812,KC,1,4249.32001,mature,1
Thermo KC B_right - mbi2 - unknown #3664102,KC,4,0,mature,1
KC96 #10056280,KC,2,4249.32001,mature,1
KC34 #7786053,KC,1,3042.08903,mature,1
KC78 #9556700,KC,2,8278.14808,mature,1
KC25 #5836163,KC,1,4249.32001,mature,1
KC28 #5836206,KC,2,2497.30109,mature,1
KC20 #5019924,KC,1,5966.11465,mature,1
KC65;_42a right #8850802,KC,1,2721.85195,mature,1
KC22 #5835799,KC,1,7878.68781,mature,1
KC49 #8413663,KC,2,8278.14808,mature,1
KC unpaired #4241192,KC,1,86.58082,mature,1
KC73 #16850888,KC,1,252.63347,mature,1
KC17 #4444354,KC,1,6297.95997,mature,1
KC27 #5836197,KC,1,922.74138,mature,2
KC66 #8891315,KC,2,3823.458474,mature,2
KC86 #9766793,KC,4,3036.66199,mature,1
KC #0 #29,KC,4,7784.90167,mature,2
KC82 #9609048,KC,1,325.74079,mature,2
KC50 #8419602,KC,6,6297.95997,mature,2
KC40 #7891312,KC,6,7878.68781,mature,2
KC31 #7196392,KC,5,2889.80683,mature,2
KC38 #7840203,KC,5,3885.014389,mature,2
KC29 #5836387,KC,3,2061.3778,mature,2
KC24 #5836035,KC,1,325.74079,mature,2
KC48 #8274902,KC,5,8486.65343,mature,2
KC95 #9897223,KC,5,1539.53061,mature,2
KC64 #8835968,KC,2,3689.31631,mature,2
KC54 #8559607,KC,4,8161.32479,mature,2
KC53 #8509987,KC,5,6297.95997,mature,2
KC99 #10259967,KC,5,3885.014389,mature,2
KC94 #9889095,KC,3,4589.35175,mature,2
KC76 #9525492,KC,4,5881.240039,mature,2
KC4 #3497901,KC,4,3482.71834,mature,2
KC15 #4414426,KC,4,2779.21685,mature,2
KC11 #4227544,KC,4,0,mature,2
KC84 #9730873,KC,3,4919.73514,mature,2
KC3 #3347834,KC,3,6297.95997,mature,2
KC91 #9809626,KC,3,4671.97923,mature,2
KC39 #7868195,KC,3,3036.66199,mature,2
KC92 #9813188,KC,6,3183.86091,mature,2
KC72 #16720240,KC,1,2061.3778,mature,2
KC33 #7690945,KC,4,6046.224021,mature,2
KC23 #5835815,KC,2,2779.21685,mature,2
KC52 #8504660,KC,3,2337.09797,mature,2
KC36 #7829784,KC,3,1291.20357,mature,2
KC37 #7838405,KC,4,4837.17092,mature,2
KC35 #7828725,KC,3,7878.68781,mature,2
KC67 #8924186,KC,3,3689.31631,mature,2
KC70 #8997281,KC,4,2867.36786,mature,2
KC83 #9707941,KC,3,3811.56433,mature,2
KC51 #8427677,KC,3,7878.68781,mature,2
KC26 #5836181,KC,2,3689.31631,mature,2
KC7 #3587612,KC,3,2721.85195,mature,2
KC93 #9847388,KC,4,1938.15467,mature,2
KC19 #4982172,KC,4,4754.54344,mature,2
KC77 #9531722,KC,5,5006.80316,mature,2
KC30 #16625432,KC,3,3482.71834,mature,2
KC97 #10169396,KC,3,4512.019272,mature,3
KC1 #677717,KC,4,6297.95997,mature,3
KC5 #3522293,KC,5,5495.704038,mature,3
KC68 young #8957325,KC,0,3689.31631,young,3
KC69 young #8978117,KC,0,3689.31631,young,3
KC85 young #9741463,KC,0,6947.08016,young,3
KC46 young #8260011,KC,0,7047.910959,young,3
KC74 young #9511772,KC,0,4378.237199,young,3
KC18 young #4919895,KC,0,7903.92333,young,3
KC55 young #8723397,KC,0,9618.21674,young,3
KC32 #14547259,KC,4,0,mature,3
KC98 young #10246566,KC,0,3110.26145,young,3
KC63 young #8792120,KC,0,9618.21674,young,3
KC71 young #9012340,KC,0,4585.094147,young,3
KC41 young #8066411,KC,0,3571.50833,young,3
KC8 young #3605630,KC,0,0,young,3
KC44 young #8259192,KC,0,6543.751658,young,3
KC80 young #9578602,KC,0,5665.271481,young,3
KC6 young #3565102,KC,0,7388.346914,young,4
KC75 young #9517477,KC,0,4690.478567,young,4
KC57 very young #8764750,KC,0,16121.72533,young,4
KC9 young #3679411,KC,0,6644.582457,young,4
KC81 very young #9606354,KC,0,4938.411802,young,4
KC79 young #9574259,KC,0,3036.66199,young,3
KC59 young #8766921,KC,0,0,young,3
KC104 very young #8247315,KC,0,6543.751658,young,6
KC62 young #8773879,KC,0,10243.5728,young,3
KC89 young #9782026,KC,0,4690.478567,young,4
KC101 very young #16145456,KC,0,0,young,4
KC45 very young #8259199,KC,0,6846.249361,young,4
KC43 very young #8259179,KC,0,0,young,6
KC56 young #8761400,KC,0,12962.56983,young,4
MBE9a right,MBIN,NA,NA,NA,5
MBE4f left,MBIN,NA,NA,NA,5
MBE1d right,MBIN,NA,NA,NA,5
MBE1b left,MBIN,NA,NA,NA,5
MBE1b right,MBIN,NA,NA,NA,5
MBE1c right,MBIN,NA,NA,NA,5
MBE4a right,MBIN,NA,NA,NA,5
MBE1d left,MBIN,NA,NA,NA,5
MBE4h left,MBIN,NA,NA,NA,5
MBE4h right,MBIN,NA,NA,NA,5
MBE24a right,MBIN,NA,NA,NA,5
MBE1c left,MBIN,NA,NA,NA,5
MBE10b left,MBIN,NA,NA,NA,5
MBE4a left,MBIN,NA,NA,NA,5
MBE10a left,MBIN,NA,NA,NA,5
MBE4g right,MBIN,NA,NA,NA,5
MBE24a left,MBIN,NA,NA,NA,5
MBE4g left,MBIN,NA,NA,NA,5
MBE22 left,MBIN,NA,NA,NA,3
Ladder (olfactory) post.,MBIN,NA,NA,NA,3
Ladder (olfactory) ant.,MBIN,NA,NA,NA,3
MBE18 right,MBON,NA,NA,NA,7
MBE9b right,MBON,NA,NA,NA,7
MBE15b right,MBON,NA,NA,NA,7
MBE5b left,MBON,NA,NA,NA,7
MBE15a right,MBON,NA,NA,NA,7
MBE6 right,MBON,NA,NA,NA,7
MBE11a right,MBON,NA,NA,NA,7
MBE11b right,MBON,NA,NA,NA,7
MBE13a right,MBON,NA,NA,NA,7
MBE13b right,MBON,NA,NA,NA,7
MBE7a right,MBON,NA,NA,NA,7
MBE5a left,MBON,NA,NA,NA,7
MBE7b right,MBON,NA,NA,NA,7
MBE2a right,MBON,NA,NA,NA,7
MBE30 right,MBON,NA,NA,NA,7
MBE20 right,MBON,NA,NA,NA,7
MBE2as right,MBON,NA,NA,NA,7
MBE24b right,MBON,NA,NA,NA,7
MBE33 right,MBON,NA,NA,NA,7
MBE13b left,MBON,NA,NA,NA,7
MBE16 right,MBON,NA,NA,NA,7
MBE13a left,MBON,NA,NA,NA,7
MBE35 right,MBON,NA,NA,NA,7
MBE5a right,MBON,NA,NA,NA,7
MBE2a left,MBON,NA,NA,NA,7
MBE34 right,MBON,NA,NA,NA,7
MBE23 right,MBON,NA,NA,NA,7
MBE26 right,MBON,NA,NA,NA,7
MBE5b right,MBON,NA,NA,NA,3
22c PN right,PN,NA,NA,NA,6
67b PN right,PN,NA,NA,NA,6
74a PN right,PN,NA,NA,NA,6
42b PN right,PN,NA,NA,NA,6
85c PN right,PN,NA,NA,NA,6
63a PN right,PN,NA,NA,NA,6
59a PN right,PN,NA,NA,NA,6
13a PN right,PN,NA,NA,NA,6
24a PN right,PN,NA,NA,NA,6
94a & 94b PN right,PN,NA,NA,NA,6
30a PN right,PN,NA,NA,NA,6
49a PN right,PN,NA,NA,NA,6
47a & 33b PN right,PN,NA,NA,NA,6
45a PN right,PN,NA,NA,NA,6
mPN iACT bilateral UPPER left,PN,NA,NA,NA,6
Gustatory(?) PN to calyx,PN,NA,NA,NA,6
42a PN right,PN,NA,NA,NA,6
mPN iACT bilateral UPPER right,PN,NA,NA,NA,6
83a PN right,PN,NA,NA,NA,6
1a PN right,PN,NA,NA,NA,6
35a PN bilateral right,PN,NA,NA,NA,6
45b PN right,PN,NA,NA,NA,6
backwards handlebar left (looks like 35a),PN,NA,NA,NA,6
Handlebar PN (CB on left),PN,NA,NA,NA,6
LH bilateral axon 2 MB Left,PN,NA,NA,NA,6
35a PN bilateral left,PN,NA,NA,NA,6
Handlebar PN (CB on Right),PN,NA,NA,NA,6
LH bilateral axon 2 MB Right GAP,PN,NA,NA,NA,6
backwards handlebar right,PN,NA,NA,NA,6
non-olfactory PN right,PN,NA,NA,NA,6
PN in Olfactory Bundle 2 (non-odor...),PN,NA,NA,NA,6
3rd-order Thermo 2 Right (Review),PN,NA,NA,NA,6
PVL09;right,PN,NA,NA,NA,6
a PN Right (Missing Branch),PN,NA,NA,NA,6
Lower Looping PN Right - AVM004 (BAla1/2),PN,NA,NA,NA,6
mPN iACT C2 right,PN,NA,NA,NA,6
82a PN right,PN,NA,NA,NA,6
handlebar neuron,PN,NA,NA,NA,6
AF13: PVL005 - 3 Right,PN,NA,NA,NA,6
AVL011 Right,PN,NA,NA,NA,6
BAmd2 r neuron 4983939 crosses midline cb - right,PN,NA,NA,NA,6
MBON ML III. Baso-Anterior target neuron #2 MB PN - contralateral,PN,NA,NA,NA,6
PVL005 - 2 Right,PN,NA,NA,NA,6
33a PN right,PN,NA,NA,NA,6
handlebar-like neuron [missing soma],PN,NA,NA,NA,6
PN in Olfactory Bundle (maybe not odor...) Right,PN,NA,NA,NA,6
from upper looping PN - peptidergic,PN,NA,NA,NA,6
T: PPLV - 1 Right,PN,NA,NA,NA,6
mPN BAmd1-g left,PN,NA,NA,NA,6
pOLP;right,PN,NA,NA,NA,6
PN Only Connects To Togethers Right,PN,NA,NA,NA,6
CPLd interneuron,PN,NA,NA,NA,6
mPN iACT bilateral LOWER right,PN,NA,NA,NA,6
mPN iACT bilateral LOWER left,PN,NA,NA,NA,6
mPN iACT A1 right,PN,NA,NA,NA,6
Suckerfish PN right,PN,NA,NA,NA,6
nc2;right,PN,NA,NA,NA,6
Looks like a PN,PN,NA,NA,NA,6
mPN D left,PN,NA,NA,NA,6
mPN iACT VUM L,PN,NA,NA,NA,6
1+2 #1 MB PN - putative - double check again,PN,NA,NA,NA,6
mPN cobra right,PN,NA,NA,NA,6
Upper Looping PN Right - AVM004 (BAla1/2),PN,NA,NA,NA,6